scenario,scenario_type,case_key,case_name,trades,win_rate,expected_return,total_return_pct,max_drawdown_pct,avg_holding_days,tp_count,sl_count,timeout_count,top20_win_rate,prob65_win_rate,avg_peak_profit_pct,avg_trade_drawdown_pct
2025_ai_bubble,bull,combo_position_limited__atr15__margin_le5,保有数制限 x ATR 1.5倍 x 信用倍率5倍以下,991,44.9,1.403,44.415,-21.484,4.9,441,308,4,68.7,66.3,7.483,-2.769
2025_ai_bubble,bull,combo_position_limited__atr15__short_pressure,保有数制限 x ATR 1.5倍 x 売り残比率10%以上,986,46.6,1.578,70.543,-11.447,4.97,456,304,3,68.5,65.0,7.76,-2.742
2025_ai_bubble,bull,combo_position_limited__fixed10,保有数制限 x 固定10%,952,54.1,2.832,118.439,-8.871,5.24,371,387,194,71.6,66.8,7.402,-3.004
2025_ai_bubble,bull,combo_position_limited__fixed10__margin_le10,保有数制限 x 固定10% x 信用倍率10倍以下,944,50.5,2.362,93.067,-9.675,5.29,340,413,191,69.1,64.9,7.114,-3.113
2025_ai_bubble,bull,combo_position_limited__fixed10__margin_le20,保有数制限 x 固定10% x 信用倍率20倍以下,939,51.5,2.498,82.167,-11.115,5.32,342,407,190,69.5,65.1,7.138,-3.051
2025_ai_bubble,bull,combo_position_limited__fixed10__margin_le5,保有数制限 x 固定10% x 信用倍率5倍以下,921,47.9,1.911,68.924,-9.971,5.36,299,424,198,67.4,64.7,6.76,-3.261
2025_ai_bubble,bull,combo_position_limited__fixed10__short_pressure,保有数制限 x 固定10% x 売り残比率10%以上,944,50.5,2.362,93.067,-9.675,5.29,340,413,191,69.1,64.9,7.114,-3.113
2025_ai_bubble,bull,combo_position_limited__fixed6,保有数制限 x 固定6%,1174,64.1,2.059,89.259,-9.306,2.94,590,355,229,85.5,81.2,5.502,-2.313
2025_ai_bubble,bull,combo_position_limited__fixed6__margin_le10,保有数制限 x 固定6% x 信用倍率10倍以下,1156,61.2,1.793,77.004,-8.073,3.03,540,364,252,84.0,79.7,5.285,-2.417
2025_ai_bubble,bull,combo_position_limited__fixed6__margin_le20,保有数制限 x 固定6% x 信用倍率20倍以下,1162,61.9,1.884,76.165,-7.615,3.03,557,355,250,82.3,78.6,5.359,-2.358
2025_ai_bubble,bull,combo_position_limited__fixed6__margin_le5,保有数制限 x 固定6% x 信用倍率5倍以下,1140,59.1,1.582,73.327,-6.419,3.06,497,365,278,83.3,80.2,5.005,-2.463
2025_ai_bubble,bull,combo_position_limited__fixed6__short_pressure,保有数制限 x 固定6% x 売り残比率10%以上,1156,61.2,1.793,77.004,-8.073,3.03,540,364,252,84.0,79.7,5.285,-2.417
2025_ai_bubble,bull,combo_position_limited__fixed7,保有数制限 x 固定7%,1081,59.2,2.321,107.471,-9.035,4.05,570,413,98,79.2,74.9,6.297,-2.7
2025_ai_bubble,bull,combo_position_limited__fixed7__margin_le10,保有数制限 x 固定7% x 信用倍率10倍以下,1064,56.4,2.006,85.896,-9.156,4.17,530,428,106,79.2,73.6,6.048,-2.742
