feature,importance
vix_change_pct,886
topix_change_pct,876
nikkei_change_pct,845
vix_value,801
volatility_20d,459
ma75_gap_pct,412
atr14,410
drop_from_52w_high_pct,406
volume_ratio_20d,367
day_change_pct,341
return_5d_pct,304
return_10d_pct,298
drop_from_20d_high_pct,289
rsi_min_5d,281
return_3d_pct,281
drop_from_5d_high_pct,275
rsi14,264
ma5_gap_pct,254
index_gap_pct,244
ma25_gap_pct,222
sector_銀行,94
drop_pct,60
sector_医薬品,37
sector_情報通信・サービスその他,37
sector_小売,36
sector_電機・精密,35
sector_運輸・物流,26
sector_食品,25
sector_素材・化学,23
sector_商社・卸売,17
sector_電気・ガス,14
sector_自動車・輸送機,12
sector_鉄鋼・非鉄,12
sector_不動産,11
sector_建設・資材,11
sector_機械,10
sector_エネルギー資源,7
volume_spike_flag,6
sector_金融（除く銀行）,5
rsi_recover_flag,4
return_1d_pct,3
advancers_ratio,0
bad_news_score,0
pbr,0
nikkei_vi_value,0
operating_profit_growth_pct,0
dividend_yield_pct,0
earnings_within_5d_flag,0
fx_yen_score,0
energy_naphtha_score,0
is_deficit,0
interest_rate_score,0
decliners_ratio,0
earnings_soon_flag,0
earnings_recent_flag,0
per,0
market_prime,0
market_shock_score,0
net_income_growth_pct,0
nikkei_vi_change_pct,0
margin_buy_change_pct,0
margin_ratio,0
sector_change_pct,0
roe,0
sector_unknown,0
sector_gap_pct,0
sector_risk_score,0
short_selling_ratio,0
