feature,importance
vix_change_pct,889
vix_value,866
nikkei_change_pct,815
topix_change_pct,812
volatility_20d,491
drop_from_52w_high_pct,440
volume_ratio_20d,391
ma75_gap_pct,382
atr14,365
drop_from_5d_high_pct,319
day_change_pct,317
drop_from_20d_high_pct,315
return_5d_pct,286
return_3d_pct,280
return_10d_pct,274
rsi14,256
ma5_gap_pct,254
index_gap_pct,254
rsi_min_5d,241
ma25_gap_pct,231
sector_銀行,89
drop_pct,69
sector_小売,40
sector_情報通信・サービスその他,36
sector_電機・精密,36
sector_運輸・物流,36
sector_医薬品,32
sector_素材・化学,29
sector_機械,24
sector_食品,23
sector_建設・資材,19
sector_鉄鋼・非鉄,16
sector_自動車・輸送機,14
sector_商社・卸売,13
volume_spike_flag,10
sector_電気・ガス,10
sector_不動産,8
sector_金融（除く銀行）,7
return_1d_pct,6
sector_エネルギー資源,4
rsi_recover_flag,1
advancers_ratio,0
bad_news_score,0
pbr,0
nikkei_vi_value,0
operating_profit_growth_pct,0
dividend_yield_pct,0
earnings_within_5d_flag,0
fx_yen_score,0
energy_naphtha_score,0
is_deficit,0
interest_rate_score,0
decliners_ratio,0
earnings_soon_flag,0
earnings_recent_flag,0
per,0
market_prime,0
market_shock_score,0
net_income_growth_pct,0
nikkei_vi_change_pct,0
margin_buy_change_pct,0
margin_ratio,0
sector_change_pct,0
roe,0
sector_unknown,0
sector_gap_pct,0
sector_risk_score,0
short_selling_ratio,0
