scenario,mix_name,date,daily_return_pct,equity,drawdown_pct,combo_current__pullback2__margin_le20_return_pct,combo_current__ma5__margin_le20_return_pct,combo_current__rsi70__margin_le5_return_pct,combo_current__fixed10_return_pct
2020_covid_crash,core_mix,2020-02-20,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2020_covid_crash,core_mix,2020-02-21,-0.0047,99.9953,-0.0047,0.0,0.0,0.0,-0.0475
2020_covid_crash,core_mix,2020-02-22,-0.0976,99.8977,-0.1023,0.0,0.0,0.0,-0.9756
2020_covid_crash,core_mix,2020-02-23,0.0,99.8977,-0.1023,0.0,0.0,0.0,0.0
2020_covid_crash,core_mix,2020-02-24,0.0,99.8977,-0.1023,0.0,0.0,0.0,0.0
2020_covid_crash,core_mix,2020-02-25,0.0,99.8977,-0.1023,0.0,0.0,0.0,0.0
2020_covid_crash,core_mix,2020-02-26,0.0,99.8977,-0.1023,0.0,0.0,0.0,0.0
2020_covid_crash,core_mix,2020-02-27,-0.0581,99.8396,-0.1604,0.0,0.0,0.0,-0.5811
2020_covid_crash,core_mix,2020-02-28,-0.0166,99.823,-0.177,0.0,0.0,0.0,-0.1656
2020_covid_crash,core_mix,2020-02-29,0.0654,99.8884,-0.1116,0.0,0.0,0.0,0.6539
2020_covid_crash,core_mix,2020-03-01,0.0,99.8884,-0.1116,0.0,0.0,0.0,0.0
2020_covid_crash,core_mix,2020-03-02,-0.0239,99.8645,-0.1355,0.0,0.0,0.0,-0.2393
2020_covid_crash,core_mix,2020-03-03,0.0,99.8645,-0.1355,0.0,0.0,0.0,0.0
2020_covid_crash,core_mix,2020-03-04,-0.052,99.8125,-0.1875,0.0,0.0,0.0,-0.5203
2020_covid_crash,core_mix,2020-03-05,0.0,99.8125,-0.1875,0.0,0.0,0.0,0.0
2020_covid_crash,core_mix,2020-03-06,-0.1116,99.7008,-0.2992,0.0,0.0,0.0,-1.1162
2020_covid_crash,core_mix,2020-03-07,-0.0952,99.6056,-0.3944,0.0,0.0,0.0,-0.9518
2020_covid_crash,core_mix,2020-03-08,0.0,99.6056,-0.3944,0.0,0.0,0.0,0.0
2020_covid_crash,core_mix,2020-03-09,0.0,99.6056,-0.3944,0.0,0.0,0.0,0.0
2020_covid_crash,core_mix,2020-03-10,0.0,99.6056,-0.3944,0.0,0.0,0.0,0.0
