scenario,mix_name,case_key,weight,return_contribution_pct,contribution_share_pct,avg_trade_return_pct,win_rate,trades,risk_score,notes
2025_ai_bubble,core_mix,combo_current__pullback2__margin_le20,0.5,34.1823,56.35,3.3228,61.01,636,0.1124,efficient
2025_ai_bubble,core_mix,combo_current__ma5__margin_le20,0.25,11.194,18.45,3.3245,59.87,618,0.5766,efficient
2025_ai_bubble,core_mix,combo_current__rsi70__margin_le5,0.15,9.0701,14.95,2.6454,62.88,617,0.514,efficient
2025_ai_bubble,core_mix,combo_current__fixed10,0.1,6.2146,10.24,2.9022,56.02,739,0.6028,efficient
2025_ai_bubble,pullback2_only,combo_current__pullback2__margin_le20,1.0,68.3646,100.0,3.3228,61.01,636,0.0562,efficient
2025_ai_bubble,defensive_mix,combo_current__pullback2__margin_le20,0.4,27.3458,43.83,3.3228,61.01,636,0.1405,efficient
2025_ai_bubble,defensive_mix,combo_current__rsi70__margin_le5,0.3,18.1402,29.07,2.6454,62.88,617,0.257,efficient
2025_ai_bubble,defensive_mix,combo_current__fixed10,0.2,12.4292,19.92,2.9022,56.02,739,0.3014,efficient
2025_ai_bubble,defensive_mix,combo_current__ma5__margin_le20,0.1,4.4776,7.18,3.3245,59.87,618,1.4415,
2025_ai_bubble,bull_mix,combo_current__ma5__margin_le20,0.4,17.9104,31.14,3.3245,59.87,618,0.3604,efficient
2025_ai_bubble,bull_mix,combo_current__pullback2__margin_le20,0.4,27.3458,47.54,3.3228,61.01,636,0.1405,efficient
2025_ai_bubble,bull_mix,combo_current__rsi70__margin_le5,0.1,6.0467,10.51,2.6454,62.88,617,0.771,efficient
2025_ai_bubble,bull_mix,combo_current__fixed10,0.1,6.2146,10.8,2.9022,56.02,739,0.6028,efficient
custom_recent,core_mix,combo_current__pullback2__margin_le20,0.5,6.9301,56.14,1.0763,42.94,163,1.1623,
custom_recent,core_mix,combo_current__ma5__margin_le20,0.25,2.1954,17.78,0.9643,40.74,162,3.9118,dd heavy
custom_recent,core_mix,combo_current__rsi70__margin_le5,0.15,1.8077,14.64,0.9871,44.58,166,4.7982,dd heavy
custom_recent,core_mix,combo_current__fixed10,0.1,1.4115,11.43,1.2088,39.9,193,3.6638,dd heavy
custom_recent,pullback2_only,combo_current__pullback2__margin_le20,1.0,13.8601,100.0,1.0763,42.94,163,0.5812,efficient
custom_recent,defensive_mix,combo_current__pullback2__margin_le20,0.4,5.544,43.11,1.0763,42.94,163,1.4529,
custom_recent,defensive_mix,combo_current__rsi70__margin_le5,0.3,3.6155,28.11,0.9871,44.58,166,2.399,dd heavy
custom_recent,defensive_mix,combo_current__fixed10,0.2,2.8231,21.95,1.2088,39.9,193,1.8318,
custom_recent,defensive_mix,combo_current__ma5__margin_le20,0.1,0.8782,6.83,0.9643,40.74,162,9.779,dd heavy
custom_recent,bull_mix,combo_current__ma5__margin_le20,0.4,3.5126,30.09,0.9643,40.74,162,2.4449,dd heavy
custom_recent,bull_mix,combo_current__pullback2__margin_le20,0.4,5.544,47.49,1.0763,42.94,163,1.4529,
custom_recent,bull_mix,combo_current__rsi70__margin_le5,0.1,1.2052,10.32,0.9871,44.58,166,7.1969,dd heavy
custom_recent,bull_mix,combo_current__fixed10,0.1,1.4115,12.09,1.2088,39.9,193,3.6638,dd heavy
